country,year,adult_pop,total_pop
TM,2023,4515308,7364438
TN,2023,8361410,12200431
TO,2023,55794,104597
TR,2023,61922379,87270501
TT,2023,1137858,1502932
TV,2023,5754,9816
TW,2023,19497201,23317145
TZ,2023,30850822,66617606
UA,2023,30396695,37732836
UG,2023,21587387,48656601
US,2023,260434000,343477335
UY,2023,2519063,3388081
UZ,2023,21977709,35652307
VA,2023,453,496
VC,2023,72128,101323
VE,2023,18192852,28300854
VG,2023,30525,38985
VI,2023,66445,85701
VN,2023,69528664,100352192
VU,2023,166322,320409
WF,2023,7929,11370
WO-MER,2023,5423215686,8090672266
WO-PPP,2023,5423215686,8090672266
WS,2023,111507,216663
XB-MER,2023,323458077,428170867
XB-PPP,2023,323458077,428170867
XF-MER,2023,606937661,1261076022
XF-PPP,2023,606937661,1261076022
XI,2023,134920,167691
XL-MER,2023,454749787,657737819
XL-PPP,2023,454749787,657737819
XN-MER,2023,376458956,594078659
XN-PPP,2023,376458956,594078659
XR-MER,2023,211222240,290168272
XR-PPP,2023,211222240,290168272
XS-MER,2023,1705918515,2642591639
XS-PPP,2023,1705918515,2642591639
YE,2023,19065211,39390799
YU,2023,15992135,20138078
ZA,2023,41490699,63212384
ZM,2023,9705983,20723965
ZW,2023,7750260,16340822
ZZ,2023,837096,1807581
