country,year,nninc_lcu_per_capita,population
SV,1990,2738.0,5399726
SX,1990,34869.4,28061
SY,1990,14035071.0,12579208
SZ,1990,38288.3,872428
TC,1990,18817.4,11688
TD,1990,262147.2,5982833
TG,1990,360169.5,3998761
TH,1990,97280.6,54738329
TJ,1990,11457.7,5398768
TL,1990,1106.3,760345
TM,1990,20891.5,3760562
TN,1990,5592.6,8324509
TO,1990,9547.0,99700
TR,1990,218592.9,56015628
TT,1990,46143.5,1252208
TV,1990,5833.0,8798
TW,1990,262897.1,20594906
TZ,1990,1071035.1,26110207
UA,1990,286009.9,52054092
UG,1990,1317550.9,17569897
US,1990,43795.7,253373387
UY,1990,391581.7,3104403
UZ,1990,14350758.0,20464956
VC,1990,9578.1,111812
VE,1990,555759.2000000001,19827010
VG,1990,34909.0,15704
VN,1990,14345525.0,65504552
VU,1990,325939.1,148063
WS,1990,8013.5,169042
YE,1990,500047.1,13887862
ZA,1990,69232.2,40746268
ZM,1990,17186.0,7786169
ZW,1990,996.6,10137281
AD,2023,40307.7,80856
AE,2023,166281.0,10642081
AF,2023,28669.5,41454761
AG,2023,50856.60000000001,93316
AI,2023,75392.0,14410
AL,2023,825090.3,2811655
AM,2023,2875632.8,2943393
AO,2023,2642529.8,36749906
AR,2023,16666114.0,45538401
AT,2023,45832.5,9130429
AU,2023,85455.1,26451124
AW,2023,57535.60000000001,107939
AZ,2023,10637.0,10318207
BA,2023,15302.3,3185073
BB,2023,79446.90000000001,282336
BD,2023,280109.8,171466990
BE,2023,44558.7,11712893
BF,2023,553494.3,23025776
BG,2023,25111.8,6795803
BH,2023,9539.9,1569666
BI,2023,1051940.0,13689450
BJ,2023,779857.0,14111034
BM,2023,281592.8,64698
BN,2023,36319.8,458949
BO,2023,27235.4,12244159
BQ,2023,22855.7,29898
BR,2023,47142.3,211140729
BS,2023,33627.7,399440
BT,2023,280056.9,786385
BW,2023,88854.3,2480244
BY,2023,21825.0,9115680
BZ,2023,12052.4,411106
CA,2023,69877.40000000001,39299105
CD,2023,1836883.4,105789731
CF,2023,300963.5,5152421
CG,2023,1216527.6,6182885
CH,2023,70000.1,8870561
CI,2023,1442718.4,31165654
CL,2023,13672749.0,19658835
CM,2023,1055563.3,28372687
CN,2023,72349.90000000001,1422584933
CO,2023,28815000.0,52321152
CR,2023,7954600.5,5105525
CU,2023,25722.2,11019931
CV,2023,455398.9,522331
CW,2023,29198.5,185427
CY,2023,21008.5,1344976
CZ,2023,559736.0,10809716
DE,2023,43953.60000000001,84548231
DJ,2023,530813.7000000001,1152944
DK,2023,415762.3,5948136
DM,2023,26676.4,66510
DO,2023,583458.1,11331265
DZ,2023,675732.9,46164219
EC,2023,6112.5,17980083
EE,2023,24088.9,1367196
EG,2023,156705.5,114535772
ER,2023,6094.700000000001,3470390
ES,2023,27628.6,47911579
ET,2023,101279.5,128691692
FI,2023,41198.3,5601185
FJ,2023,11141.1,924145
FM,2023,3927.9,112630
FR,2023,36344.3,68655640
GA,2023,3510212.3,2484789
GB,2023,37587.9,68682962
GD,2023,23627.3,117081
GE,2023,19471.5,3807492
GG,2023,117382.9,64017
GH,2023,32938.1,33787914
GI,2023,74384.6,38471
GL,2023,362697.8,55922
GM,2023,53455.60000000001,2697845
GN,2023,15093738.0,14405468
GQ,2023,3357548.3,1847549
GR,2023,19795.9,10242908
GT,2023,41665.2,18124838
GW,2023,544978.0,2153339
GY,2023,3257588.0,826353
HK,2023,417967.8,7442734
HN,2023,78835.8,10644851
HR,2023,18818.7,3896023
HT,2023,367644.3,11637398
HU,2023,6946309.0,9686463
ID,2023,61787100.0,281190067
IE,2023,56888.0,5196630
IL,2023,184928.4,9256314
IM,2023,67971.40000000001,84165
IN,2023,184188.5,1438069596
IQ,2023,6751226.5,45074049
IR,2023,2202703872.0,90608707
IS,2023,10577101.0,387558
IT,2023,30473.3,59499453
JE,2023,112472.9,103674
JM,2023,1127669.8,2839786
JO,2023,3015.2,11439213
JP,2023,4084818.0,124370947
KE,2023,254111.4,55339003
