country,year,ppp,percentile
AD,2023,0.60306715965271,p0p100
AE,2023,2.346544981002808,p0p100
AF,2023,14.78610610961914,p0p100
AG,2023,1.86353874206543,p0p100
AI,2023,0.646617591381073,p0p100
AL,2023,43.0498161315918,p0p100
AM,2023,148.5515899658203,p0p100
AO,2023,218.3263702392578,p0p100
AR,2023,139.6918487548828,p0p100
AT,2023,0.7299639582633972,p0p100
AU,2023,1.40291428565979,p0p100
AW,2023,1.431068897247314,p0p100
AZ,2023,0.512235164642334,p0p100
BA,2023,0.6829442381858826,p0p100
BB,2023,2.207786321640015,p0p100
BD,2023,28.86289405822754,p0p100
BE,2023,0.7237046360969543,p0p100
BF,2023,194.2016754150391,p0p100
BG,2023,0.7806254029273987,p0p100
BH,2023,0.1714848428964615,p0p100
BI,2023,723.2972412109375,p0p100
BJ,2023,204.6224822998047,p0p100
BM,2023,1.158456444740295,p0p100
BN,2023,0.5190736055374146,p0p100
BO,2023,2.329575061798096,p0p100
BQ,2023,1.360100150108337,p0p100
BR,2023,2.44559383392334,p0p100
BS,2023,0.9772345423698424,p0p100
BT,2023,19.50049591064453,p0p100
BW,2023,5.060040950775146,p0p100
BY,2023,0.7696053981781006,p0p100
BZ,2023,1.08065390586853,p0p100
CA,2023,1.147495031356812,p0p100
CD,2023,934.729736328125,p0p100
CF,2023,239.1208953857422,p0p100
CG,2023,245.3337707519531,p0p100
CH,2023,0.989047646522522,p0p100
CI,2023,214.2385711669922,p0p100
CL,2023,436.6091003417969,p0p100
CM,2023,192.713134765625,p0p100
CN,2023,3.640702962875366,p0p100
CN-RU,2023,3.640702962875366,p0p100
CN-UR,2023,3.640702962875366,p0p100
CO,2023,1483.18310546875,p0p100
CR,2023,319.4120483398438,p0p100
CS,2023,11.53695678710938,p0p100
CU,2023,0.6400002837181091,p0p100
CV,2023,48.00711441040039,p0p100
CW,2023,1.2380610704422,p0p100
CY,2023,0.5926397442817688,p0p100
CZ,2023,13.28857231140137,p0p100
DD,2023,0.7164496779441833,p0p100
DE,2023,0.7164498567581177,p0p100
DJ,2023,83.09507751464844,p0p100
DK,2023,6.117247104644775,p0p100
DM,2023,1.318295121192932,p0p100
DO,2023,23.08391761779785,p0p100
DZ,2023,43.28377914428711,p0p100
EC,2023,0.4229217171669006,p0p100
EE,2023,0.6015731692314148,p0p100
EG,2023,5.309558391571045,p0p100
ER,2023,4.335285186767578,p0p100
ES,2023,0.5893433094024658,p0p100
ET,2023,21.27964019775391,p0p100
FI,2023,0.7821207046508789,p0p100
FJ,2023,0.909837543964386,p0p100
FM,2023,0.915279746055603,p0p100
FO,2023,6.259529113769531,p0p100
FR,2023,0.6854578256607056,p0p100
GA,2023,235.6694183349609,p0p100
GB,2023,0.6768098473548889,p0p100
GD,2023,1.622225761413574,p0p100
GE,2023,0.8675426840782166,p0p100
GG,2023,0.6768096685409546,p0p100
GH,2023,3.474191188812256,p0p100
GI,2023,0.6768096685409546,p0p100
GL,2023,5.174259662628174,p0p100
GM,2023,15.94986152648926,p0p100
GN,2023,2792.778076171875,p0p100
GQ,2023,228.6548309326172,p0p100
GR,2023,0.5286706686019897,p0p100
GT,2023,3.278331518173218,p0p100
GW,2023,212.3371124267578,p0p100
GY,2023,77.90326690673828,p0p100
HK,2023,5.531291007995605,p0p100
HN,2023,11.05203723907471,p0p100
HR,2023,0.4425409436225891,p0p100
HT,2023,72.07757568359375,p0p100
HU,2023,175.6957244873047,p0p100
ID,2023,4815.76318359375,p0p100
IE,2023,0.7488732933998108,p0p100
IL,2023,3.610248565673828,p0p100
IM,2023,0.6986991763114929,p0p100
IN,2023,20.54157829284668,p0p100
IQ,2023,535.224365234375,p0p100
IR,2023,92515.1015625,p0p100
IS,2023,147.3947143554688,p0p100
IT,2023,0.6185474395751953,p0p100
JE,2023,0.6768096685409546,p0p100
JM,2023,90.7380599975586,p0p100
JO,2023,0.3042992055416107,p0p100
JP,2023,93.32285308837892,p0p100
KE,2023,42.96946716308594,p0p100
KG,2023,25.71919059753418,p0p100
KH,2023,1353.688232421875,p0p100
KI,2023,0.9376108646392822,p0p100
KM,2023,183.8197937011719,p0p100
KN,2023,1.792467474937439,p0p100
KP,2023,2.30478835105896,p0p100
KR,2023,776.12841796875,p0p100
KS,2023,0.3636983036994934,p0p100
KW,2023,0.197243869304657,p0p100
KY,2023,0.9335421323776244,p0p100
KZ,2023,153.5538787841797,p0p100
LA,2023,3599.73486328125,p0p100
LB,2023,39092.32421875,p0p100
LC,2023,1.370539546012878,p0p100
LI,2023,0.927387535572052,p0p100
LK,2023,86.00337982177734,p0p100
LR,2023,0.4190795719623566,p0p100
LS,2023,5.903881072998047,p0p100
LT,2023,0.5011973977088928,p0p100
LU,2023,0.8529882431030273,p0p100
LV,2023,0.5072458982467651,p0p100
LY,2023,2.18440580368042,p0p100
MA,2023,3.902317047119141,p0p100
MC,2023,0.6854682564735413,p0p100
MD,2023,6.957924365997314,p0p100
ME,2023,0.374634712934494,p0p100
MG,2023,1245.017211914063,p0p100
MH,2023,0.8996536135673523,p0p100
MK,2023,18.96042633056641,p0p100
ML,2023,199.3013153076172,p0p100
MM,2023,418.9194641113281,p0p100
MN,2023,1122.946166992188,p0p100
MO,2023,4.65530252456665,p0p100
MR,2023,11.17851257324219,p0p100
MS,2023,0.6332977414131165,p0p100
MT,2023,0.5637093186378479,p0p100
MU,2023,17.48651504516602,p0p100
MV,2023,7.80769681930542,p0p100
MW,2023,401.3273620605469,p0p100
MX,2023,10.10982227325439,p0p100
MY,2023,1.423882722854614,p0p100
MZ,2023,23.65611457824707,p0p100
NC,2023,97.32506561279295,p0p100
NE,2023,200.6080322265625,p0p100
NG,2023,158.1618347167969,p0p100
NI,2023,11.41983795166016,p0p100
NL,2023,0.7533482909202576,p0p100
NO,2023,9.236767768859863,p0p100
NP,2023,32.61999130249023,p0p100
NR,2023,1.527542233467102,p0p100
NZ,2023,1.449493885040283,p0p100
OA-MER,2023,0.3081610764828275,p0p100
OA-PPP,2023,1.0,p0p100
OB-MER,2023,0.3452767632129546,p0p100
OB-PPP,2023,1.0,p0p100
OC-MER,2023,0.8120243892600022,p0p100
OC-PPP,2023,1.0,p0p100
OD-MER,2023,0.5241088573581749,p0p100
OD-PPP,2023,1.0,p0p100
OE-MER,2023,0.5629995604209139,p0p100
OE-PPP,2023,1.0,p0p100
OH-MER,2023,0.7529716796677528,p0p100
OH-PPP,2023,1.0,p0p100
OI-MER,2023,0.3854955343449997,p0p100
OI-PPP,2023,1.0,p0p100
OJ-MER,2023,0.3277164882276124,p0p100
OJ-PPP,2023,1.0,p0p100
OK-MER,2023,1.078508167021676,p0p100
OK-PPP,2023,1.0,p0p100
OL-MER,2023,0.6722977665277535,p0p100
OL-PPP,2023,1.0,p0p100
OM,2023,0.192596897482872,p0p100
PA,2023,0.4690810441970825,p0p100
PE,2023,1.734453082084656,p0p100
PF,2023,103.3543395996094,p0p100
PG,2023,2.279060125350952,p0p100
PH,2023,19.2473258972168,p0p100
PK,2023,58.22171020507813,p0p100
PL,2023,1.919013142585754,p0p100
PR,2023,0.7748302221298218,p0p100
PS,2023,0.5838637351989746,p0p100
PT,2023,0.5508748888969421,p0p100
PW,2023,0.8574880361557007,p0p100
PY,2023,2612.647216796875,p0p100
QA,2023,2.300165891647339,p0p100
QE-MER,2023,0.7218613556787118,p0p100
QE-PPP,2023,1.0,p0p100
QF-MER,2023,0.915869246458934,p0p100
QF-PPP,2023,1.0,p0p100
QL-MER,2023,0.5296289871640061,p0p100
QL-PPP,2023,1.0,p0p100
QM-MER,2023,0.4770183980656206,p0p100
QM-PPP,2023,1.0,p0p100
QP-MER,2023,0.9867341130556198,p0p100
QP-PPP,2023,1.0,p0p100
RO,2023,1.880512952804565,p0p100
RS,2023,46.56211090087891,p0p100
RU,2023,27.21665191650391,p0p100
RW,2023,349.8266296386719,p0p100
SA,2023,1.893057942390442,p0p100
SB,2023,6.067731380462646,p0p100
SC,2023,8.048730850219727,p0p100
SD,2023,230.2703094482422,p0p100
SE,2023,8.449331283569336,p0p100
SG,2023,0.79697585105896,p0p100
SI,2023,0.567217230796814,p0p100
SK,2023,0.520124614238739,p0p100
SL,2023,4.795048713684082,p0p100
SM,2023,0.7025889754295349,p0p100
SN,2023,215.2774658203125,p0p100
SO,2023,9978.046875,p0p100
SR,2023,9.551801681518556,p0p100
SS,2023,437.43798828125,p0p100
ST,2023,10.90756320953369,p0p100
SU,2023,24.50179862976074,p0p100
SV,2023,0.4228072166442871,p0p100
SX,2023,1.348859667778015,p0p100
SY,2023,1818.927490234375,p0p100
SZ,2023,6.095541000366211,p0p100
TC,2023,1.002948760986328,p0p100
TD,2023,213.1616058349609,p0p100
TG,2023,194.4972991943359,p0p100
TH,2023,10.63805484771729,p0p100
TJ,2023,2.571920156478882,p0p100
TL,2023,0.3123002946376801,p0p100
TM,2023,1.593979239463806,p0p100
TN,2023,0.8709186315536499,p0p100
TO,2023,1.701404571533203,p0p100
TR,2023,8.169965744018555,p0p100
TT,2023,3.566517353057861,p0p100
TV,2023,1.339322566986084,p0p100
TW,2023,13.53362369537354,p0p100
TZ,2023,746.3624267578125,p0p100
UA,2023,10.63209342956543,p0p100
UG,2023,1206.985473632813,p0p100
US,2023,1.0,p0p100
UY,2023,25.90486335754395,p0p100
UZ,2023,3038.70654296875,p0p100
VC,2023,1.409941673278809,p0p100
VE,2023,14.44234371185303,p0p100
VG,2023,0.9184280633926392,p0p100
VI,2023,0.8902417421340942,p0p100
VN,2023,6834.9697265625,p0p100
VU,2023,109.7943801879883,p0p100
WO-MER,2023,0.5705402761917092,p0p100
WO-PPP,2023,1.0,p0p100
WS,2023,1.682066440582275,p0p100
XB-MER,2023,0.981958323672711,p0p100
XB-PPP,2023,1.0,p0p100
XF-MER,2023,0.3178476078938801,p0p100
XF-PPP,2023,1.0,p0p100
XI,2023,0.6837375164031982,p0p100
XL-MER,2023,0.5026353271110844,p0p100
XL-PPP,2023,1.0,p0p100
XN-MER,2023,0.3991571119155878,p0p100
XN-PPP,2023,1.0,p0p100
XR-MER,2023,0.3162616913324354,p0p100
XR-PPP,2023,1.0,p0p100
XS-MER,2023,0.2796731152656984,p0p100
XS-PPP,2023,1.0,p0p100
YE,2023,163.8352966308594,p0p100
YU,2023,11.2060375213623,p0p100
ZA,2023,7.318674087524414,p0p100
ZM,2023,6.591736793518066,p0p100
ZW,2023,0.3200839459896088,p0p100
ZZ,2023,756.4664306640625,p0p100
,2023,6.859874725341797,p0p100
AD,2025,0.6055738925933838,p0p100
AE,2025,2.213437080383301,p0p100
AF,2025,13.78584384918213,p0p100
AG,2025,1.852017760276794,p0p100
AI,2025,0.6687467694282532,p0p100
AL,2025,42.64576721191406,p0p100
AM,2025,148.1448059082031,p0p100
AO,2025,311.0470581054688,p0p100
AR,2025,567.1002197265625,p0p100
AT,2025,0.7446901202201843,p0p100
AU,2025,1.403100609779358,p0p100
AW,2025,1.413010954856873,p0p100
AZ,2025,0.4821953177452087,p0p100
BA,2025,0.6973889470100403,p0p100
BB,2025,2.189174652099609,p0p100
BD,2025,31.18153762817383,p0p100
BE,2025,0.7174679636955261,p0p100
BF,2025,214.9137573242188,p0p100
BG,2025,0.8529378771781921,p0p100
BH,2025,0.1579411923885345,p0p100
BI,2025,1167.9296875,p0p100
BJ,2025,199.4492645263672,p0p100
BM,2025,1.143784046173096,p0p100
BN,2025,0.4872395098209381,p0p100
BO,2025,2.666742086410522,p0p100
BQ,2025,1.524402141571045,p0p100
BR,2025,2.553525447845459,p0p100
BS,2025,0.9431593418121338,p0p100
BT,2025,20.05706787109375,p0p100
BW,2025,5.001660823822021,p0p100
BY,2025,0.8775507211685181,p0p100
BZ,2025,1.050848007202148,p0p100
CA,2025,1.147119164466858,p0p100
CD,2025,1100.021118164063,p0p100
CF,2025,244.725830078125,p0p100
CG,2025,234.7058258056641,p0p100
CH,2025,0.9533071517944336,p0p100
CI,2025,211.2594757080078,p0p100
CL,2025,473.1889343261719,p0p100
CM,2025,199.2814636230469,p0p100
CN,2025,3.395627975463867,p0p100
CO,2025,1569.35546875,p0p100
CR,2025,301.5975036621094,p0p100
CU,2025,1.061613798141479,p0p100
CV,2025,47.56263732910156,p0p100
CW,2025,1.254317045211792,p0p100
CY,2025,0.58377605676651,p0p100
CZ,2025,13.5062837600708,p0p100
DE,2025,0.7220199704170227,p0p100
DJ,2025,78.07763671875,p0p100
DK,2025,5.979396343231201,p0p100
DM,2025,1.323592305183411,p0p100
DO,2025,23.86051750183105,p0p100
DZ,2025,42.25606918334961,p0p100
EC,2025,0.427672415971756,p0p100
EE,2025,0.6148729920387268,p0p100
EG,2025,8.416833877563477,p0p100
ER,2025,2.758016347885132,p0p100
ES,2025,0.5925332307815552,p0p100
ET,2025,29.82731819152832,p0p100
FI,2025,0.758566677570343,p0p100
FJ,2025,0.903207302093506,p0p100
FM,2025,0.9515565633773804,p0p100
FR,2025,0.6717825531959534,p0p100
GA,2025,217.5491180419922,p0p100
GB,2025,0.6901569366455078,p0p100
GD,2025,1.529295444488525,p0p100
GE,2025,0.905092477798462,p0p100
GG,2025,0.6901570558547974,p0p100
GH,2025,4.729289531707764,p0p100
GI,2025,0.6901570558547974,p0p100
GL,2025,5.216202259063721,p0p100
GM,2025,17.63268852233887,p0p100
GN,2025,2684.15283203125,p0p100
GQ,2025,224.1568145751953,p0p100
GR,2025,0.5318163633346558,p0p100
GT,2025,3.27968955039978,p0p100
GW,2025,230.4923400878906,p0p100
GY,2025,69.1169204711914,p0p100
HK,2025,5.504959583282471,p0p100
HN,2025,11.90351581573486,p0p100
HR,2025,0.4676071107387543,p0p100
HT,2025,109.8972320556641,p0p100
HU,2025,189.1133575439453,p0p100
ID,2025,4719.4423828125,p0p100
IE,2025,0.7385920882225037,p0p100
IL,2025,3.691522359848022,p0p100
IM,2025,0.7124782204627991,p0p100
IN,2025,20.31497192382813,p0p100
IQ,2025,490.7200317382813,p0p100
IR,2025,169233.15625,p0p100
IS,2025,158.5114288330078,p0p100
IT,2025,0.6103221774101257,p0p100
JE,2025,0.6901570558547974,p0p100
JM,2025,93.47549438476562,p0p100
JO,2025,0.3011212348937988,p0p100
JP,2025,94.21295166015624,p0p100
KE,2025,43.55331802368164,p0p100
KG,2025,28.02020263671875,p0p100
KH,2025,1340.467407226563,p0p100
KI,2025,1.007189750671387,p0p100
KM,2025,175.4449768066406,p0p100
KN,2025,1.829249262809753,p0p100
KP,2025,2.223906755447388,p0p100
KR,2025,790.3419189453125,p0p100
KS,2025,0.3617602586746216,p0p100
KW,2025,0.1760098487138748,p0p100
KY,2025,0.9324787855148317,p0p100
KZ,2025,172.0961761474609,p0p100
LA,2025,4331.32177734375,p0p100
LB,2025,55810.34375,p0p100
LC,2025,1.351848840713501,p0p100
LI,2025,0.8960548043251038,p0p100
LK,2025,87.99120330810547,p0p100
LR,2025,0.4319793283939362,p0p100
LS,2025,6.128043174743652,p0p100
LT,2025,0.5086148977279663,p0p100
LU,2025,0.8736333847045898,p0p100
LV,2025,0.5090060830116272,p0p100
LY,2025,1.918853402137756,p0p100
MA,2025,3.92357349395752,p0p100
MC,2025,0.6778329014778137,p0p100
MD,2025,7.49702262878418,p0p100
ME,2025,0.3878154456615448,p0p100
MG,2025,1375.687377929688,p0p100
MH,2025,0.9445759057998656,p0p100
MK,2025,19.50802040100098,p0p100
ML,2025,199.2837829589844,p0p100
MM,2025,465.1058654785156,p0p100
MN,2025,1203.574829101563,p0p100
MO,2025,4.446157455444336,p0p100
MR,2025,11.7423038482666,p0p100
MS,2025,0.6290028095245361,p0p100
MT,2025,0.5645445585250854,p0p100
MU,2025,17.91623687744141,p0p100
MV,2025,7.902165412902832,p0p100
MW,2025,618.1602783203125,p0p100
MX,2025,10.54315185546875,p0p100
MY,2025,1.355510234832764,p0p100
MZ,2025,23.65996551513672,p0p100
NC,2025,94.44538879394533,p0p100
NE,2025,194.9794311523438,p0p100
NG,2025,194.9453430175781,p0p100
NI,2025,12.51192665100098,p0p100
NL,2025,0.7799220681190491,p0p100
NO,2025,8.867730140686035,p0p100
NP,2025,32.48010635375977,p0p100
NR,2025,1.640264630317688,p0p100
NZ,2025,1.489116191864014,p0p100
OM,2025,0.1755278259515762,p0p100
PA,2025,0.4488564133644104,p0p100
PE,2025,1.826673269271851,p0p100
PF,2025,101.7126846313477,p0p100
PG,2025,2.494684934616089,p0p100
PH,2025,19.06985473632813,p0p100
PK,2025,70.7002182006836,p0p100
PL,2025,1.941044688224792,p0p100
PR,2025,0.7673959732055664,p0p100
PS,2025,0.687730073928833,p0p100
PT,2025,0.5693012475967407,p0p100
PW,2025,0.8545843958854675,p0p100
PY,2025,2646.403564453125,p0p100
QA,2025,2.111606121063232,p0p100
RO,2025,2.094504833221436,p0p100
RS,2025,48.57736206054688,p0p100
RU,2025,29.49235343933105,p0p100
RW,2025,384.4812622070313,p0p100
SA,2025,1.754700779914856,p0p100
SB,2025,6.122824668884277,p0p100
SC,2025,7.583212852478027,p0p100
SD,2025,947.9694213867188,p0p100
SE,2025,8.360681533813477,p0p100
SG,2025,0.7667322158813477,p0p100
SI,2025,0.573936939239502,p0p100
SK,2025,0.5328994989395142,p0p100
SL,2025,5.333180904388428,p0p100
SM,2025,0.691747784614563,p0p100
SN,2025,201.5856018066406,p0p100
SO,2025,10274.302734375,p0p100
SR,2025,11.90884113311768,p0p100
SS,2025,1415.077026367188,p0p100
ST,2025,13.77221775054932,p0p100
SV,2025,0.415083259344101,p0p100
SX,2025,1.372763395309448,p0p100
SY,2025,2450.05810546875,p0p100
SZ,2025,6.114354133605957,p0p100
TC,2025,0.9675100445747375,p0p100
TD,2025,202.7532806396484,p0p100
TG,2025,191.8071441650391,p0p100
TH,2025,10.10245800018311,p0p100
TJ,2025,2.657296180725098,p0p100
TL,2025,0.3006154298782349,p0p100
TM,2025,1.746649265289307,p0p100
TN,2025,0.9544000625610352,p0p100
TO,2025,1.799279570579529,p0p100
TR,2025,16.76119995117188,p0p100
TT,2025,3.39268159866333,p0p100
TV,2025,1.415953159332275,p0p100
TW,2025,13.65100002288818,p0p100
TZ,2025,773.9508666992188,p0p100
UA,2025,12.89028930664063,p0p100
UG,2025,1244.228149414063,p0p100
US,2025,1.0,p0p100
UY,2025,26.74284744262695,p0p100
UZ,2025,3655.3291015625,p0p100
VC,2025,1.401054978370667,p0p100
VE,2025,69.37799835205078,p0p100
VG,2025,0.9038493037223816,p0p100
VN,2025,6980.2587890625,p0p100
VU,2025,105.7127685546875,p0p100
WS,2025,1.828649759292603,p0p100
YE,2025,183.7850189208984,p0p100
ZA,2025,7.417717933654785,p0p100
ZM,2025,7.55876636505127,p0p100
ZW,2025,0.3155527412891388,p0p100
